Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,118.062277059s,118.061520333s,19.32643ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,116.922040516s,116.921309747s,16.680039ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,117.007728461s,117.006961926s,16.958814ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,108.787586181s,108.786993373s,23.01054ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,117.285427516s,117.284858663s,13.907373ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,118.216530723s,118.215992762s,16.187947ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,111.580092987s,111.579473802s,12.635308ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,117.661379587s,117.660655392s,12.185453ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,117.818500895s,117.817854054s,11.931595ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,117.4184658s,117.417752001s,14.77056ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",1,117.390334111s,117.389816743s,12.62974ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",2,116.7014055s,116.700904071s,9.879517ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",3,118.087561684s,118.087054385s,10.350497ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",4,118.21937205s,118.218825726s,10.327442ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",5,118.259466424s,118.258875904s,9.836724ms,1ms,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",6,117.666512197s,117.665940263s,10.396064ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",7,117.807250227s,117.806762609s,9.487366ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",8,116.926282808s,116.925761477s,8.813432ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",9,118.457588926s,118.457067649s,8.674807ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",10,117.742991535s,117.742464377s,11.717373ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",1,117.33381572s,117.333067853s,9.950579ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",2,117.150708179s,117.150209882s,8.386553ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",3,117.839885857s,117.839176988s,10.26147ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",4,117.684531424s,117.684066375s,8.470483ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",5,117.349328516s,117.348840381s,8.503461ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",6,117.926599535s,117.926088049s,8.499484ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",7,117.835953261s,117.835377965s,9.993974ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",8,116.984041777s,116.983538959s,8.68925ms,0ns,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",9,118.463733938s,118.462966594s,9.839576ms,1ms,10,464,42246255,0.00%,2344926
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",10,117.575286877s,117.574730271s,9.228259ms,0ns,10,464,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",1,123.572239512s,123.571290386s,14.003798ms,0ns,100,3761,42246255,0.00%,2344926
