Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"fix data , partition=20 final",0,0s,0s,0ms,0ns,0,0,0,0.00%,0
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",1,82.870537746s,82.869169166s,19.163987ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",2,82.681131978s,82.679710952s,14.710314ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",3,82.168248068s,82.167372793s,9.263745ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",4,82.24947587s,82.248125049s,16.328836ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",5,82.465045878s,82.464565598s,13.043951ms,1ms,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",6,82.05964343s,82.05915928s,14.9356ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",7,81.945454193s,81.944959339s,12.582767ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",8,82.168285524s,82.167004818s,20.919998ms,1ms,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",9,82.00922973s,82.007649554s,8.141318ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '8MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",10,82.301557833s,82.300762975s,11.800927ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '16MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",1,84.438419243s,84.436593801s,10.936386ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '16MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",2,84.658946138s,84.658444055s,11.068364ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '16MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",3,84.978432463s,84.977265525s,17.124725ms,0ns,100,4115,42246255,0.00%,2344951
"set `compiler.groupmemory` '16MB';use tweetverse; select uname, sum(t.retweeted_status.retweet_count) as c from tweetsdataset t /*+ hash */ GROUP BY user.name as uname ORDER BY c DESC LIMIT 100;",4,84.546902769s,84.545325339s,12.810382ms,0ns,100,4115,42246255,0.00%,2344951
