Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=36 and d.d_moy=12 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.945573494s,136.944915967s,20.034613ms,0ns,100,9140,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'true';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=36 and d.d_moy=12 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.83116019s,136.830512219s,15.015428ms,0ns,100,9172,288274073,0.00%,1775243
"use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=36 and d.d_moy=12 and d.d_year=2001 /*+ hash */ group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.662742176s,136.661981475s,15.065898ms,0ns,100,9120,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'false';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=37 and d.d_moy=11 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,138.156207472s,138.155553742s,12.39897ms,0ns,100,9281,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'true';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=37 and d.d_moy=11 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,138.272391925s,138.271725655s,14.726355ms,0ns,100,9278,288274073,0.00%,1775243
"use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=37 and d.d_moy=11 and d.d_year=2001 /*+ hash */ group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,138.517750484s,138.517098412s,19.721357ms,0ns,100,9320,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'false';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=89 and d.d_moy=12 and d.d_year=2000 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,137.789306412s,137.7886328s,11.086755ms,0ns,100,9301,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'true';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=89 and d.d_moy=12 and d.d_year=2000 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,138.910317142s,138.909661848s,16.807805ms,0ns,100,9344,288274073,0.00%,1775243
"use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=89 and d.d_moy=12 and d.d_year=2000 /*+ hash */ group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,138.48445137s,138.48390527s,16.01366ms,0ns,100,9321,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'false';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=12 and d.d_moy=11 and d.d_year=1998 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.125588979s,136.125048923s,26.042487ms,0ns,100,9212,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'true';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=12 and d.d_moy=11 and d.d_year=1998 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,135.519985196s,135.519458251s,10.906997ms,0ns,100,9168,288274073,0.00%,1775243
"use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=12 and d.d_moy=11 and d.d_year=1998 /*+ hash */ group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.213300995s,136.212753487s,19.147936ms,0ns,100,9203,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'false';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=42 and d.d_moy=12 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.491128469s,136.490626409s,17.503737ms,0ns,100,9164,288274073,0.00%,1775243
"set `compiler.optimize.groupby` 'true';use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=42 and d.d_moy=12 and d.d_year=2001 group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,136.729343528s,136.728811369s,14.673848ms,0ns,100,9202,288274073,0.00%,1775243
"use tpcds; select i_brand_id brand_id, i_brand brand, sum(ss.ss_ext_sales_price) ext_price from date_dim d, store_sales ss, item i where d.d_date_sk = ss.ss_sold_date_sk and ss.ss_item_sk = i.i_item_sk and i.i_manager_id=42 and d.d_moy=12 and d.d_year=2001 /*+ hash */ group by i.i_brand, i.i_brand_id order by ext_price desc, i_brand_id limit 100;",1,137.410739821s,137.41020565s,15.717527ms,0ns,100,9191,288274073,0.00%,1775243
