Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 313 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,435.836884856s,435.836392148s,15.461686ms,0ns,100,17698,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 312 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,429.662808225s,429.66232827s,14.18008ms,0ns,100,17700,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 315 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,442.968838659s,442.967626573s,27.529656ms,0ns,100,17697,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 312 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,421.444629358s,421.444134383s,14.253179ms,0ns,100,17700,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 313 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,439.005809947s,439.005338775s,12.917927ms,0ns,100,17698,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 312 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,428.470531646s,428.470042834s,14.507646ms,0ns,100,17700,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 314 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,449.398961156s,449.397553932s,34.486163ms,0ns,100,17698,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 313 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,434.975161576s,434.974618889s,20.051135ms,1ms,100,17698,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 314 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,443.680479915s,443.679996982s,15.716741ms,0ns,100,17698,765037902,0.00%,1337400
"set `compiler.optimize.groupby` 'false';use tpch;with tmp as ( select l_orderkey, sum(l_quantity) t_sum_quantity from  lineitem group by l_orderkey) select c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice, sum(l.l_quantity) sum_quantity from  customer c join  orders o on c.c_custkey = o.o_custkey join  tmp t on o.o_orderkey = t.l_orderkey join  lineitem l on t.l_orderkey = l.l_orderkey where t.t_sum_quantity > 314 group by c.c_name, c.c_custkey, o.o_orderkey, o.o_orderdate, o.o_totalprice order by o.o_totalprice desc, o.o_orderdate limit 100;",1,421.238568377s,421.238060092s,12.537309ms,0ns,100,17698,765037902,0.00%,1337400
