Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",1,3.889379915s,3.888808161s,11.70456ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",2,3.93427547s,3.933752308s,9.819074ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",3,3.971609594s,3.971087901s,10.10378ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",4,4.068847797s,4.068350113s,8.774033ms,1ms,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",5,3.94368719s,3.943190971s,10.907291ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",6,3.984615586s,3.984069108s,8.814206ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",7,3.932577856s,3.932021455s,8.769537ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",8,4.017962043s,4.017520705s,7.681113ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",9,3.93466504s,3.934235301s,7.401088ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'false';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",10,4.009621702s,4.009184771s,7.334433ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",1,2.475115202s,2.474711316s,7.141293ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",2,2.437206155s,2.436690637s,9.050929ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",3,2.418383054s,2.417987634s,8.147729ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",4,2.477186545s,2.476755991s,9.294583ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",5,2.529243788s,2.528856459s,6.366717ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",6,2.643910486s,2.643488727s,7.580475ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",7,2.505011761s,2.50458656s,6.738891ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",8,2.522991415s,2.522595012s,5.857147ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",9,2.542548479s,2.542114437s,5.961129ms,0ns,10,360,2260380,0.00%,24522
"set `compiler.optimize.groupby` 'true';use testopen2gb; select ten, count(ten) as count from testdefopen2gb group by testdefopen2gb.ten;",10,2.515119986s,2.514703503s,5.713135ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",1,2.652359507s,2.651961593s,5.539803ms,1ms,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",2,2.729845276s,2.729467882s,5.289145ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",3,2.498481413s,2.498064842s,5.330256ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",4,2.564211307s,2.563789232s,5.49694ms,0ns,10,360,2260380,0.00%,24522
"use testopen2gb; select ten, count(ten) as count from testdefopen2gb /*+ hash */ group by testdefopen2gb.ten;",5,2.504330588s,2.503962444s,5.661762ms,1ms,10,360,2260380,0.00%,24522
