Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",70917.6357754,183.3807814884128,70918.06308339999,10.503169099999997,0.0,10.0,464.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",70870.01555699999,120.01490051440133,70870.4182286,8.4460061,0.0,10.0,464.0,42246255.0,0.0,2344951.0
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",70730.1466402,134.54761022798255,70730.5814272,8.268094199999998,0.0,10.0,464.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",89040.36524529998,674.1505585262549,89040.6985682,4.6050322999999995,0.3,100.0,3761.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",86513.26947639999,340.6098171605068,86513.5709513,4.6521002000000005,0.2,100.0,3761.0,42246255.0,0.0,2344951.0
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",142209.9236085,626.9526992301994,142210.2467735,4.1883123,0.0,100.0,3761.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",70450.39083389999,92.64356315775198,70450.74303119999,6.831049,0.1,493.0,22156.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",70468.1404941,140.15112184556128,70468.48779580001,6.771798800000001,0.1,493.0,22156.0,42246255.0,0.0,2344951.0
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",70445.0034137,82.78640655079327,70445.35572010001,6.4252019,0.1,493.0,22156.0,42246255.0,0.0,2344951.0
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",75430.4671589,982.2143502027144,75430.72464449999,3.3959358,0.1,66.0,2512.0,42246255.0,0.0,2344951.0
