Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount,realquery,size(gb),type,groupmemory(MB),groupbyattribute,aggregate,nc,dp
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",240522.2215566,419.9037511549788,240522.8508211,14.4799249,0.2,10.0,464.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",unknown,sort,32,name as uname order by c desc limit 10,count,1,1
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",240171.274414,220.1729868003678,240171.7867113,10.3092178,0.2,10.0,464.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname order by c desc limit 10;",unknown,opt,32,name as uname order by c desc limit 10,count,1,1
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname order by c desc limit 10;",240769.5745822,529.4568613827078,240770.0858932,9.2932026,0.1,10.0,464.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"")  group by user.name as uname order by c desc limit 10;",unknown,hash,32,name as uname order by c desc limit 10,count,1,1
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",256565.1270321,738.1018041494196,256565.5179636,5.398507200000001,0.1,100.0,3761.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",unknown,sort,32,name as uname order by c desc limit 100,count,1,1
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",234835.7452348,1575.7985628963638,234836.1428754,5.2786556,0.1,100.0,3761.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t group by user.name as uname order by c desc limit 100;",unknown,opt,32,name as uname order by c desc limit 100,count,1,1
"use tweetverse;select uname, count(*) as c from tweetsdataset t /*+ hash */ group by user.name as uname order by c desc limit 100;",484029.4838991,3234.253671457648,484029.8727442,4.952396599999999,0.2,100.0,3761.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t  group by user.name as uname order by c desc limit 100;",unknown,hash,32,name as uname order by c desc limit 100,count,1,1
"set `compiler.optimize.groupby` 'false';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",242036.41352310003,1231.5462566203155,242036.82311380003,8.2034417,0.0,493.0,22156.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",unknown,sort,32,name as uname,count,1,1
"set `compiler.optimize.groupby` 'true';use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",234398.989653,13278.800946649662,234399.3565914,7.771946999999999,0.0,493.0,22156.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") group by user.name as uname;",unknown,opt,32,name as uname,count,1,1
"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"") /*+ hash */ group by user.name as uname;",229755.69411960003,14994.664275903217,229756.1002095,7.7515411,0.0,493.0,22156.0,42246255.0,0.0,2344964.0,"use tweetverse;select uname, count(*) as c from tweetsdataset t where (some ht in t.entities . hashtags satisfies lowercase(ht . text) = ""jobs"")  group by user.name as uname;",unknown,hash,32,name as uname,count,1,1
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",211018.0557657,2815.1915120206345,211018.3662294,3.8374427,0.1,66.0,2512.0,42246255.0,0.0,2344964.0,"use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",unknown,sort,32,lang as language,count,1,1
